204,Veliki Crljeni,11563,49
205,Veliki Šiljegovac,37204,60
206,Veliko Bonjince,18215,18
207,Veliko Gradište,12220,114
208,Veliko Laole,12306,103
209,Veliko Orašje,11323,111
210,Veliko Središte,26334,107
211,Venčane,34306,15
212,Veternik,21203,59
213,Vilovo,21246,115
214,Vina,19368,67
215,Vionica,32254,65
216,Visočka Ržana,18306,116
217,Vitanovac,36206,4
218,Vitkovac,36207,4
219,Vitoševac,37213,117
220,Viča,32233,118
221,Višnjevac,24222,24
222,Višnjićevo,22246,2
223,Vladimirovac,26315,11
224,Vladimirci,15225,119
225,Vladičin Han,17510,120
226,Vlajkovac,26332,107
227,Vlase,17507,121
228,Vlasotince,16210,122
229,Vlaška,11406,109
230,Voganj,22429,101
231,Vodanj,11328,123
232,Vojvoda Stepa,23219,9
233,Vojvodinci,26338,107
234,Vojka,22313,34
235,Vojska,35208,80
236,Voluja,12256,124
237,Vražogrnac,19312,100
238,Vranić,11427,40
239,Vranovo,11329,123
240,Vranje,17501,121
241,Vranjska Banja,17541,121
242,Vratarnica,19344,100
243,Vraćevšnica,32315,88
244,Vračev Gaj,26348,29
245,Vrba,36214,4
246,Vrbas,21460,58
247,Vrbica,23329,125
248,Vrbovac,38263,126
249,Vrdnik,22408,127
250,Vreoci,11560,49
251,Vrmdža,18236,128
252,Vrnjačka Banja,36210,129
253,Vrnjci,36217,129
254,Vrćenovica,18221,10
255,Vrhpolje,15324,130
256,Vršac,26300,107
257,Vukovac,12318,131
258,Vučje,16203,84
259,Gaj,26223,19
260,Gajdobra,21432,53
261,Gakovo,25282,6
262,Gamzigradska Banja,19228,100
263,Gardinovci,21247,115
264,Gadžin Han,18240,132
265,Gibarac,22258,2
266,Glavinci,35261,20
267,Globoder,37251,60
268,Glogovac,35222,20
269,Glogonj,26202,31
270,Gložan,21412,56
271,Glušci,15356,22
272,Gnjilan,18309,116
273,Golobok,11316,5
274,Golubac,12223,92
275,Golubinci,22308,34
276,Goračići,32232,118
277,Gornja Dobrinja,31214,133
278,Gornja Draguša,18425,42
279,Gornja Lisina,17538,77
280,Gornja Sabanta,34206,71
281,Gornja Toplica,14243,95
282,Gornja Toponica,18202,134
283,Gornja Trepča,32215,97
284,Gornja Trnava,34324,69
285,Gornje Dvorane,37206,60
286,Gornji Barbeš,18241,132
287,Gornji Breg,24406,81
288,Gornji Matejevac,18204,135
289,Gornji Milanovac,32300,88
290,Gornji Stepoš,37221,60
291,Gornji Stupanj,37234,8
292,Gospođinci,21237,136
293,Gostun,31308,12
294,Grabovac,11508,47
295,Grabovica,19327,98
296,Grabovci,22423,101
297,Gradskovo,19205,100
298,Gračanica,38205,137
299,Grgurevci,22213,73
300,Grdelica (varoš),16220,84
301,Grebenac,26347,29
302,Grlište,19342,100
303,Grljan,19341,100
304,Grošnica,34202,71
305,Gruža,34230,44
306,Guberevac,16211,84
307,Guberevac,34232,44
308,Gudurica,26335,107
309,Gunaroš,24312,25
310,Guča (varošica),32230,118
311,Guševac,18208,102
312,Darosava,34305,15
313,Debeljača,26214,138
314,Debrc,15214,119
315,Devojački Bunar,26316,11
316,Deževa,36305,139
317,Deliblato,26225,19
318,Delimeđe,36307,140
319,Deronje,25254,54
320,Desimirovac,34321,71
321,Despotovac,35213,113
322,Despotovo,21468,53
323,Deč,22441,17
324,Divljaka,31236,16
325,Divostin,34204,71
326,Divoš,22232,73
327,Divci,14222,93
328,Divčibare,14204,93
329,Dimitrovgrad,18320,141
330,Dobra,12224,92
331,Dobri Do,18408,48
332,Dobrinci,22412,101
333,Dobrić,15235,106
334,Dobrica,26354,11
335,Dolac (naselje),18314,62
336,Dolovo,26227,31
337,Doljevac,18410,70
338,Donja Bela Reka,19213,89
339,Donja Borina,15317,112
340,Donja Gušterica,38207,142
341,Donja Kamenica,19352,67
342,Donja Ljubata,17544,77
343,Donja Mutnica,35255,104
344,Donja Orovica,15323,130
345,Donja Rečica,18404,68
346,Donja Trnava,18421,68
347,Donja Šatornja,34314,69
348,Donje Vidovo,35258,104
349,Donje Zuniče,19345,67
350,Donje Međurovo,18254,143
351,Donje Crnatovo,18414,144
352,Donje Crniljevo,15227,145
353,Donji Dušnik,18242,132
354,Donji Krčin,37258,52
355,Donji Milanovac,19220,146
356,Donji Stajevac,17526,147
357,Doroslovo,25243,6
358,Draginac,15311,37
359,Draginje,15226,145
360,Draglica,31317,78
361,Dragobraća,34231,71
362,Dragovo,35265,72
363,Dragolj,32316,88
364,Dragocvet,35272,20
365,Dragoševac,35262,20
366,Draževac,11506,47
367,Draževac,18223,10
368,Drajkovce,38239,96
369,Dračić,14203,93
370,Drenovac,15212,106
371,Drenovac,35257,104
372,Drugovac,11432,123
373,Dublje,15359,22
374,Dubovac,26224,19
375,Dubovo,18406,144
376,Duboka,12255,124
377,Duboka,35218,20
378,Dubočane,19232,100
379,Dubravica,12207,43
380,Duga Poljana,36312,45
381,Dugo Polje,18237,128
382,Dudovica,11561,49
383,Dupljaja,26328,29
384,Đala,23335,33
385,Đunis,37202,60
386,Đurđevo,21239,136
387,Đurđin,24213,24
388,Elemir,23208,14
389,Erdevik,22230,2
390,Erdeč,34207,71
391,Ečka,23203,14
392,Žabalj,21230,136
393,Žabari,12374,7
394,Žagubica,12320,131
395,Željuše,18325,141
396,Žirovnica,34229,21
397,Žitište,23210,32
398,Žitkovac,18210,10
399,Žitni Potok,18407,68
400,Žitorađa,18412,144
401,Žiča,36221,4
402,Žuč,18438,48
403,Zablaće,32223,97
404,Zabojnica,34244,44
405,Zabrežje,11505,47
406,Zavlaka,15312,63
407,Zagajica,26344,107
408,Zajača,15315,37
409,Zaječar,19000,100
410,Zaplanjska Toponica,18244,132
411,Zasavica,22201,73
412,Zvezdan,19227,100
413,Zvečan,38227,39
414,Zvonce,18333,18
415,Zdravinje,37203,60
416,Zlatibor,31315,148
417,Zlatica,23255,14
418,Zlodol,31253,23
419,Zlot,19215,89
420,Zmajevo,21213,58
421,Zminjak,15352,106
422,Zrenjanin,23000,14
423,Zubin Potok,38228,149
424,Zuce,11225,66
425,Ivanovo,26233,31
426,Ivanjica,32250,65
427,Idvor,26207,138
428,Iđoš,23323,30
429,Izbište,26343,107
430,Ilandža,26352,11
431,Ilinci,22250,2
432,Ilićevo,34203,71
433,Inđija,22320,74
434,Irig,22406,127
435,Jabuka,26201,31
436,Jabuka,31306,12
437,Jabukovac,19304,94
438,Jabučje,14226,82
439,Jagnjilo,11412,109
440,Jagodina,35000,20
441,Jadranska Lešnica,15308,37
442,Jazak,22409,127
443,Jazovo,23327,125
444,Jamena,22248,2
445,Jankov Most,23201,14
446,Janošik,26362,11
447,Jarak,22426,73
448,Jarkovac,23250,28
449,Jarmenovci,34318,69
450,Jasenovo,26346,29
451,Jasenovo,31319,78
452,Jasenovo,35241,113
453,Jasika,37252,60
454,Jasikovica,37247,108
455,Jasikovo,19256,146
456,Jaša Tomić,23230,28
457,Ježevica,31213,133
458,Ježevica,32222,97
459,Jelašnica,17531,86
