naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Toba,Nova Crnja,45.69012129409917,20.551444908645244,Petefi Šandora,34
Toba,Nova Crnja,45.686176845239224,20.553027248159637,Petefi Šandora,79
Aleksandrovo,Nova Crnja,45.63594355867079,20.583868344524692,Karađorđeva,66
Aleksandrovo,Nova Crnja,45.63122725762627,20.586796055206595,Mihajla Pupina,88
Aleksandrovo,Nova Crnja,45.63255092661007,20.58739151211694,Mihajla Pupina,76
Aleksandrovo,Nova Crnja,45.63952969677355,20.588237722817205,Đure Jakšića,37A
Aleksandrovo,Nova Crnja,45.64427967754692,20.585058314637966,Železnička,17
Aleksandrovo,Nova Crnja,45.644283343630846,20.586914384498087,Karađorđeva,18A
Aleksandrovo,Nova Crnja,45.63584169186139,20.591103761450363,4.oktobra,48A
Aleksandrovo,Nova Crnja,45.63864720807696,20.592141291498045,4.oktobra,40
Aleksandrovo,Nova Crnja,45.639556047512514,20.59300402821651,4.oktobra,37
Aleksandrovo,Nova Crnja,45.62858467811936,20.59560111919772,Gavrila Principa,78
Aleksandrovo,Nova Crnja,45.629946195342804,20.596629599716522,Gavrila Principa,65A
Aleksandrovo,Nova Crnja,45.63304500935451,20.599615611024273,Vuka Karadžića,44
Aleksandrovo,Nova Crnja,45.63337810149706,20.599760527958168,Vuka Karadžića,42
Aleksandrovo,Nova Crnja,45.6392972389204,20.600260256573915,Gavrila Principa,25
Aleksandrovo,Nova Crnja,45.63789128180368,20.60200950522637,Vuka Karadžića,43A
Aleksandrovo,Nova Crnja,45.64308942955207,20.59431492332917,4.oktobra,17
Vojvoda Stepa,Nova Crnja,45.68901782760482,20.651906026685364,Njegoševa,13
Vojvoda Stepa,Nova Crnja,45.67867570587141,20.657696074354057,Nikole Tesle,58
Vojvoda Stepa,Nova Crnja,45.678964249879606,20.658560531806266,Nikole Tesle,55
Vojvoda Stepa,Nova Crnja,45.686399085717525,20.656353582851803,Karađorđeva,32
Vojvoda Stepa,Nova Crnja,45.68633285023576,20.656956156260897,Karađorđeva,31
Vojvoda Stepa,Nova Crnja,45.68478583659685,20.65766356278806,Jna,29
Vojvoda Stepa,Nova Crnja,45.689741833393214,20.656987587990606,Karađorđeva,20A
Srpska Crnja,Nova Crnja,45.72433850218233,20.679708377624063,Kneza Miloša,4
Srpska Crnja,Nova Crnja,45.724259523788554,20.680432844401775,Kneza Miloša,7
