naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
ALEKSANDROVO,NOVA CRNJA,45.63835024096675,20.58652505989375,NIKOLE TESLE,21
ALEKSANDROVO,NOVA CRNJA,45.64156365921766,20.58595350068923,KARAĐORĐEVA,32
ALEKSANDROVO,NOVA CRNJA,45.64162475625951,20.588939167098378,ĐURE JAKŠIĆA,25A
ALEKSANDROVO,NOVA CRNJA,45.645679338068405,20.587998124319245,KARAĐORĐEVA,5
ALEKSANDROVO,NOVA CRNJA,45.64022027404078,20.590247867256373,MIHAJLA PUPINA,42
ALEKSANDROVO,NOVA CRNJA,45.63756058611734,20.59125126198081,NIKOLE TESLE,31
ALEKSANDROVO,NOVA CRNJA,45.63634508744204,20.59132284147607,4.OKTOBRA,46
ALEKSANDROVO,NOVA CRNJA,45.63161989869798,20.59248991406896,ŽARKA ZRENJANINA,57
ALEKSANDROVO,NOVA CRNJA,45.639642448870234,20.592496944589815,4.OKTOBRA,30
ALEKSANDROVO,NOVA CRNJA,45.63988188454515,20.595005953070956,ŽARKA ZRENJANINA,26
ALEKSANDROVO,NOVA CRNJA,45.6282988386602,20.598442077551006,VUKA KARADŽIĆA,91
ALEKSANDROVO,NOVA CRNJA,45.63529417939392,20.59813396883306,GAVRILA PRINCIPA,44B
ALEKSANDROVO,NOVA CRNJA,45.63235137315541,20.59940321330724,VUKA KARADŽIĆA,48
ALEKSANDROVO,NOVA CRNJA,45.63367269206199,20.599706340717635,VUKA KARADŽIĆA,40
ALEKSANDROVO,NOVA CRNJA,45.639316964040646,20.601965408603174,VUKA KARADŽIĆA,18
ALEKSANDROVO,NOVA CRNJA,45.64141183500447,20.585760729423743,KARAĐORĐEVA,34
ALEKSANDROVO,NOVA CRNJA,45.64379019752313,20.586768896213833,KARAĐORĐEVA,22
ALEKSANDROVO,NOVA CRNJA,45.627926193877705,20.591106924167164,ŽARKA ZRENJANINA,77
ALEKSANDROVO,NOVA CRNJA,45.6293975841774,20.591083781229635,ŽARKA ZRENJANINA,86
ALEKSANDROVO,NOVA CRNJA,45.63071598568494,20.591621882392882,ŽARKA ZRENJANINA,76
ALEKSANDROVO,NOVA CRNJA,45.64126857317114,20.591342994045828,MIHAJLA PUPINA,31
ALEKSANDROVO,NOVA CRNJA,45.633777222872865,20.59263606656124,ŽARKA ZRENJANINA,62
ALEKSANDROVO,NOVA CRNJA,45.63792230032427,20.599039404802113,GAVRILA PRINCIPA,36A
ALEKSANDROVO,NOVA CRNJA,45.639150257001305,20.60002969576677,GAVRILA PRINCIPA,25A
ALEKSANDROVO,NOVA CRNJA,45.63576085982382,20.600644400830223,NIKOLE TESLE,73
ALEKSANDROVO,NOVA CRNJA,45.643162364011864,20.592123286411056,MIHAJLA PUPINA,23
ALEKSANDROVO,NOVA CRNJA,45.64376452900577,20.604202683520615,VUKA KARADŽIĆA,9
ALEKSANDROVO,NOVA CRNJA,45.63909026083953,20.58189058161409,ŽELEZNIČKA,8A
ALEKSANDROVO,NOVA CRNJA,45.63329613476127,20.583379613047256,KARAĐORĐEVA,65
ALEKSANDROVO,NOVA CRNJA,45.642108174001315,20.586712867305973,KARAĐORĐEVA,23A
ALEKSANDROVO,NOVA CRNJA,45.633259612013724,20.589501980616745,BRANKA RADIČEVIĆA,29
ALEKSANDROVO,NOVA CRNJA,45.63892706352192,20.58970772867564,MIHAJLA PUPINA,50A
ALEKSANDROVO,NOVA CRNJA,45.63297011165147,20.590798122533723,BRANKA RADIČEVIĆA,33A
ALEKSANDROVO,NOVA CRNJA,45.631387076530764,20.591843322447613,ŽARKA ZRENJANINA,72
ALEKSANDROVO,NOVA CRNJA,45.636820409868605,20.59488147977942,NIKOLE TESLE,51
ALEKSANDROVO,NOVA CRNJA,45.636403676892705,20.59691994963568,NIKOLE TESLE,59
